barcode,title,year,format,poster_path,status
,Central Intelligence,2016,Blu-ray,https://image.tmdb.org/t/p/w200/hXQVMbRNpf7c93e8clMY4W5DRm6.jpg,owned
,Chappie,2015,Blu-ray,https://image.tmdb.org/t/p/w200/uuDUpzlMFomdSfNWlpEPS9nVZWV.jpg,owned
,Charlie St. Cloud,2010,Blu-ray,https://image.tmdb.org/t/p/w200/r4XSrs6N086EU8CNm339dHRPhZg.jpg,owned
,Chasing Mavericks,2012,Blu-ray,https://image.tmdb.org/t/p/w200/7wxJmFqTMcdE05sfWedB6458US1.jpg,owned
,Chernobyl Diaries,2012,Blu-ray,https://image.tmdb.org/t/p/w200/9AKhThGA8IATBy3gR7I4dw9SEc4.jpg,owned
,Child's Play,1988,Blu-ray,https://image.tmdb.org/t/p/w200/7jrOhGtRh6YK7sMfvH1E1f36aVx.jpg,owned
,Child's Play 2,1990,Blu-ray,https://image.tmdb.org/t/p/w200/2tPQbPQeHEYAGoXFSW61IWNmoce.jpg,owned
,Child's Play 3,1991,Blu-ray,https://image.tmdb.org/t/p/w200/6toMk9OCuDYEEf733Bzlq3yiw3z.jpg,owned
,Chitty Chitty Bang Bang,1968,Blu-ray,https://image.tmdb.org/t/p/w200/wJ62FzGeCAs6PjCIK1as6xzdIY5.jpg,owned
,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Blu-ray,https://image.tmdb.org/t/p/w200/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg,owned
,Churchill,2017,Blu-ray,https://image.tmdb.org/t/p/w200/zdDthGLJxzEYOCb9IHHjLmSqoRx.jpg,owned
,Cinderella,2015,Blu-ray,https://image.tmdb.org/t/p/w200/j91LJmcWo16CArFOoapsz84bwxb.jpg,owned
,Cinderella,1950,Blu-ray,https://image.tmdb.org/t/p/w200/4nssBcQUBadCTBjrAkX46mVEKts.jpg,owned
,Clash of the Titans,2010,Blu-ray,https://image.tmdb.org/t/p/w200/6iHYLipwEyZUPNO8MM3l1yHDaFE.jpg,owned
,Click,2006,Blu-ray,https://image.tmdb.org/t/p/w200/oL0k5JA53PyoHSZqKb3cNkhwBCE.jpg,owned
,Cloudy with a Chance of Meatballs,2009,Blu-ray,https://image.tmdb.org/t/p/w200/qhOhIKf7QEyQ5dMrRUqs5eTX1Oq.jpg,owned
,Cloudy with a Chance of Meatballs 2,2013,Blu-ray,https://image.tmdb.org/t/p/w200/ss5NcK2NWFg2YcKKYXLrk8q1myS.jpg,owned
,Commando,1985,Blu-ray,https://image.tmdb.org/t/p/w200/ollPAAAgZ7euU8VisfqU3cuXhZ6.jpg,owned
,Concussion,2015,Blu-ray,https://image.tmdb.org/t/p/w200/gseayWAIFt3GQrEUNuUcYxT77Ud.jpg,owned
,The Conjuring,2013,Blu-ray,https://image.tmdb.org/t/p/w200/wVYREutTvI2tmxr6ujrHT704wGF.jpg,owned
,Coronation Street: Out of Africa,2008,DVD,,owned
,Couples Retreat,2009,Blu-ray,https://image.tmdb.org/t/p/w200/igXVSRZsNX3TZsKrQqSyEJvzHRF.jpg,owned
,Creed,2015,Blu-ray,https://image.tmdb.org/t/p/w200/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg,owned
,Creed II,2018,Blu-ray,https://image.tmdb.org/t/p/w200/v3QyboWRoA4O9RbcsqH8tJMe8EB.jpg,owned
,Creed III,2023,Blu-ray,https://image.tmdb.org/t/p/w200/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,owned
